"Month","Month_Name","Average_Rainfall_mm","Median_Rainfall_mm","Standard_Deviation_mm","Min_Rainfall_mm","Max_Rainfall_mm"
1,"Jan",19.5055555555556,16.7,14.1932367081638,0,55.6
2,"Feb",16.8222222222222,12.5,18.4990364399433,0,81
3,"Mar",18.9111111111111,14.2,18.2176331813482,0,75.4
4,"Apr",28.5888888888889,21.8,24.4054768768672,0.8,95.2
5,"May",44.5222222222222,47.5,20.2792661336804,5.2,78
6,"Jun",62.0805555555556,69.5,27.0378868515427,10.6,114.6
7,"Jul",53.6388888888889,46.3,24.0805229864633,15.2,103.2
8,"Aug",50.6628571428571,50.6,22.7808367056261,8.6,103.8
9,"Sep",44.4166666666667,39.3,24.9061495561696,12.2,113.6
10,"Oct",32.9388888888889,27.2,23.9770756917969,0.6,85.2
11,"Nov",27.7388888888889,24.5,19.085780462769,1.8,85.4
12,"Dec",23.8833333333333,15.2,23.0225417487172,1.6,90.4
