"Month","Month_Name","Mean_Rainfall_mm","Standard_Deviation_mm","Variance","Coefficient_of_Variation","Minimum_Rainfall_mm","Maximum_Rainfall_mm"
1,"Jan",19.5055555555556,14.1932367081638,201.447968253968,0.727650984753484,0,55.6
2,"Feb",16.8222222222222,18.4990364399433,342.214349206349,1.09967852020799,0,81
3,"Mar",18.9111111111111,18.2176331813482,331.882158730159,0.9633296041841,0,75.4
4,"Apr",28.5888888888889,24.4054768768672,595.627301587302,0.853670003466013,0.8,95.2
5,"May",44.5222222222222,20.2792661336804,411.248634920635,0.455486386830854,5.2,78
6,"Jun",62.0805555555556,27.0378868515427,731.047325396825,0.435529073629933,10.6,114.6
7,"Jul",53.6388888888889,24.0805229864633,579.871587301587,0.448937766707757,15.2,103.2
8,"Aug",50.6628571428571,22.7808367056261,518.966521008403,0.449655585775386,8.6,103.8
9,"Sep",44.4166666666667,24.9061495561696,620.316285714286,0.560738826780553,12.2,113.6
10,"Oct",32.9388888888889,23.9770756917969,574.900158730159,0.727926062493413,0.6,85.2
11,"Nov",27.7388888888889,19.085780462769,364.267015873016,0.688051368575691,1.8,85.4
12,"Dec",23.8833333333333,23.0225417487172,530.037428571429,0.963958482151455,1.6,90.4
