"Forecast_Month","Forecast_Rainfall_mm","Lower_80","Upper_80","Lower_95","Upper_95"
1,23.49,-6.49,53.47,-22.36,69.35
2,20.66,-10.53,51.85,-27.04,68.36
3,26.86,-4.81,58.52,-21.57,75.29
4,29.28,-2.39,60.95,-19.16,77.72
5,34.33,2.53,66.14,-14.31,82.98
6,41.96,9.91,74.01,-7.06,90.98
7,45.54,13.28,77.81,-3.8,94.89
8,36.59,4.2,68.98,-12.95,86.13
9,34.48,2.04,66.93,-15.14,84.1
10,36.87,4.41,69.33,-12.77,86.51
11,39.87,7.41,72.33,-9.77,89.51
12,30.2,-2.26,62.66,-19.44,79.84
13,33.34,0.5,66.17,-16.88,83.56
14,32.84,-0.04,65.73,-17.44,83.13
15,33.79,0.88,66.69,-16.54,84.11
16,34.19,1.29,67.09,-16.13,84.51
17,35.01,2.1,67.91,-15.32,85.33
18,36.21,3.3,69.12,-14.12,86.54
19,36.8,3.88,69.71,-13.54,87.13
20,35.46,2.54,68.38,-14.88,85.8
21,35.15,2.23,68.07,-15.19,85.5
22,35.52,2.6,68.44,-14.83,85.86
23,35.97,3.05,68.89,-14.37,86.32
24,34.5,1.58,67.42,-15.85,84.84
